id,review
298,Excellent
4153,Very good
5359,Very good
7734,Very good
3283,Very good
9321,Excellent
4945,Very good
6246,Very good
8882,Very good
5839,Bad
9167,Very bad
6318,Very good
6582,Excellent
9288,Bad
6161,Bad
8723,Excellent
7697,Good
2257,Very good
8672,Very good
8306,Very good
9688,Excellent
4755,Excellent
109,Very good
2237,Bad
5936,Very good
6644,Excellent
3879,Excellent
2229,Bad
2138,Good
8120,Excellent
6459,Excellent
9504,Excellent
962,Very bad
7332,Very good
4733,Excellent
1182,Very bad
3973,Very good
2274,Excellent
2975,Bad
4998,Very good
120,Excellent
364,Very bad
5292,Excellent
1088,Very good
1015,Very good
6247,Excellent
8660,Excellent
3206,Very good
4620,Very good
5078,Good
453,Excellent
8192,Very good
967,Excellent
5195,Excellent
5747,Good
1301,Very good
4662,Excellent
8821,Excellent
4055,Very good
3895,Excellent
8369,Very good
3449,Bad
5287,Very good
9305,Very good
3403,Excellent
7301,Excellent
3617,Excellent
9136,Excellent
3884,Very good
3974,Good
7309,Good
2726,Very good
7361,Excellent
6081,Bad
6590,Bad
6702,Excellent
720,Very good
1176,Excellent
6181,Excellent
1024,Very good
1151,Excellent
1451,Very good
2653,Excellent
4862,Very bad
8498,Excellent
9862,Good
1739,Very good
7345,Very bad
2242,Bad
1895,Excellent
5302,Very bad
4581,Very good
2151,Very good
8315,Excellent
9364,Very good
8788,Excellent
8906,Excellent
7377,Very bad
2039,Very good
1989,Good
7314,Excellent
321,Very bad
1,Very good
5950,Very bad
4440,Excellent
4417,Good
7282,Excellent
694,Very good
2531,Excellent
6115,Excellent
1369,Excellent
1078,Excellent
5635,Excellent
6026,Bad
6058,Very good
4528,Very good
8027,Very good
7231,Excellent
5975,Bad
7518,Very good
433,Very good
4718,Very good
4470,Very good
9524,Very good
8244,Very bad
9265,Excellent
9811,Excellent
7256,Excellent
8545,Bad
3265,Very good
8440,Bad
871,Excellent
445,Very good
769,Excellent
4895,Very good
9502,Bad
7455,Excellent
9358,Excellent
8015,Excellent
1990,Excellent
4917,Excellent
7757,Excellent
5132,Very good
2276,Very good
457,Bad
7729,Very good
8664,Very good
499,Very good
4931,Very good
7274,Very good
848,Excellent
1232,Very good
6916,Bad
4637,Excellent
4221,Very good
5614,Very good
4868,Excellent
9150,Excellent
4201,Excellent
7420,Very good
9762,Good
1047,Very bad
247,Very good
3102,Bad
4090,Excellent
8751,Very good
7837,Very good
2798,Excellent
3927,Very good
8348,Excellent
610,Very good
8460,Good
4380,Excellent
5878,Bad
8404,Excellent
50,Very good
333,Very good
2546,Bad
4602,Bad
1041,Very good
2240,Excellent
4094,Very bad
8078,Good
1243,Very bad
1783,Excellent
8667,Very good
9030,Bad
7073,Excellent
5122,Very good
8979,Good
696,Excellent
2516,Very good
3422,Excellent
3497,Very bad
1390,Very good
9063,Excellent
5755,Excellent
4392,Very good
6386,Excellent
9831,Excellent
5815,Very bad
4033,Bad
2948,Excellent
3417,Good
5814,Good
737,Excellent
8105,Very good
2339,Bad
2424,Very good
7350,Very bad
3201,Excellent
5093,Excellent
9249,Very good
1119,Excellent
2589,Very good
9332,Very good
7810,Very good
2105,Excellent
5898,Very good
4454,Very good
4950,Excellent
3,Excellent
2155,Very good
9180,Very good
2850,Very good
8231,Bad
359,Very good
9420,Very good
71,Very bad
18,Very good
8281,Excellent
6542,Very good
8838,Very good
6262,Excellent
9556,Excellent
8561,Excellent
1901,Very good
1346,Bad
9046,Very good
4971,Very good
6164,Good
3902,Excellent
1448,Excellent
1753,Excellent
1372,Very bad
4347,Very good
8234,Excellent
7885,Excellent
5432,Very good
485,Good
3141,Bad
4748,Excellent
6122,Very good
7010,Very good
6411,Very good
1224,Very good
6967,Good
7514,Excellent
53,Good
8763,Bad
1614,Bad
1183,Excellent
1049,Excellent
1966,Very bad
1859,Excellent
6287,Good
273,Very good
5862,Excellent
8402,Very bad
7752,Good
3813,Excellent
6678,Excellent
6835,Good
3967,Very good
3689,Very good
435,Good
6184,Excellent
4885,Very good
2346,Excellent
3076,Good
8663,Good
7353,Excellent
7323,Very good
2231,Very bad
6565,Excellent
8343,Very good
2814,Very bad
8985,Excellent
7054,Very good
2213,Very good
2711,Excellent
428,Bad
8984,Good
8441,Excellent
5054,Excellent
1386,Very good
5786,Excellent
378,Very good
5712,Excellent
6279,Very good
165,Bad
470,Very good
9512,Excellent
8544,Excellent
5281,Bad
9597,Excellent
2926,Very good
9582,Very good
9336,Excellent
7221,Very good
8901,Very good
2852,Very good
9955,Bad
1098,Very good
22,Excellent
7021,Very good
2239,Excellent
4073,Excellent
2810,Very good
3113,Excellent
8537,Very good
5297,Excellent
2038,Excellent
281,Very bad
9542,Excellent
8426,Very good
5124,Excellent
2716,Good
157,Very good
6339,Very good
5994,Very good
6407,Very good
2555,Excellent
5337,Good
5687,Very bad
1492,Very bad
4903,Excellent
8697,Very good
953,Good
1790,Bad
